Course,Title,Credits,Instructor,Location,Days,Start,End,Type
"16220 AMST XXX 1","American Studies Courses","4","","","TBA","","","LECTURE"
"15504 ANT 200 1","Cultural Anthropology","4","A Romero","CSS 170","TR","2 :00","3 :15P","LECTURE"
"15505 ANT 200 2","Cultural Anthropology","4","S Saiyed","CSS 170","TR","11:00","12:15P","LECTURE"
"15500 ANT 210 1","Human Evolution","4","Z Gilmore","CSS 119","MWF","11:00","11:50A","LECTURE"
"15502 ANT 235 1","Florida Before Columbus","4","Z Gilmore","CSS 100","MW","2 :30","3 :45P","LECTURE"
"15499 ANT 303 1","Women's Global Health","4","S Brown","","MWF","10:00","10:50A","LECTURE"
"16110 ANT 340 1","Latin American Ethnography","4","A Romero","","TR","11:00","12:15P","LECTURE"
"15503 ANT 351 1","Language, Culture & Society","4","T Mould","","TR","2 :00","3 :15P","LECTURE"
"15506 ANT 361 1","Anthropology & Environment","4","S Saiyed","","TR","2 :00","3 :15P","LECTURE"
"15507 ANT 364 1","Anthro & Storytelling","4","A Romero","CSS 119","TR","3 :30","4 :45P","LECTURE"
"15501 ANT 410 1","Seminar: Thry in Practice","4","S Brown","CSS 119","MW","1 :00","2 :15P","LECTURE"
"15536 ARH 120 1","Eur & Amer Art 1400-present","4","M Nguyen","REX 1","MWF","11:00","11:50A","LECTURE"
"15537 ARH 145 1","Introduction to African Art","4","M Ryan","REX 1","MWF","10:00","10:50A","LECTURE"
"16277 ARH 195 1","Tc:Hstorical Fashion thru Film","2","M Ryan","REX 1","MW","2 :30","3 :45P","LECTURE"
"15538 ARH 215 1","Archaeology of the Greek World","4","R Vander Poppen","REX 1","TR","3 :30","4 :45P","LECTURE"
"15539 ARH 234 1","American Art","4","M Nguyen","CFAC 113","TR","2 :00","3 :15P","LECTURE"
"15546 ARH 243 1","Fashion in Africa","4","M Ryan","REX 1","MW","1 :00","2 :15P","LECTURE"
"15542 ARH 341 1","African Art and Colonialism","4","M Ryan","CFAC 113","TR","11:00","12:15P","LECTURE"
"15543 ARH 402 1","Methodologies of Art History","4","M Nguyen","CFAC 113","MW","2 :30","3 :45P","LECTURE"
